#Неправильные глаголы по приоритету 1
#separator:Semicolon
#html:true
#tags:verb verb_p1
#notetype:German
#columns:Front;Form2;Form3;Back;Example;ExampleTranslation;
sein;war;gewesen;быть;<i>Ich möchte morgen früh im Büro <b>sein</b>.</i>;<i>Я хочу завтра утром <b>быть</b> в офисе.</i>;
haben;hatte;;иметь;<i>Wir müssen viel Geduld <b>haben</b>.</i>;<i>Мы должны <b>иметь</b> много терпения.</i>;
werden;wurde;geworden;становиться;<i>Er möchte Arzt <b>werden</b>.</i>;<i>Он хочет <b>стать</b> врачом.</i>;
müssen;musste;;быть должным;<i>Du <b>musst</b> deine Hausaufgaben machen.</i>;<i>Ты <b>должен</b> сделать свою домашнюю работу.</i>;
können;konnte;;мочь;<i>Wir <b>können</b> dir helfen.</i>;<i>Мы <b>можем</b> тебе помочь.</i>;
sollen;sollte;;быть должным;<i>Sie <b>soll</b> ihn anrufen.</i>;<i>Она <b>должна</b> ему позвонить.</i>;
wollen;wollte;;хотеть;<i>Ich <b>will</b> Deutsch lernen.</i>;<i>Я <b>хочу</b> учить немецкий.</i>;
dürfen;durfte;;мочь;<i>Hier <b>dürfen</b> Sie nicht rauchen.</i>;<i>Здесь <b>нельзя</b> курить.</i>;
mögen;mochte;;хотеть, любить;<i>Ich <b>mag</b> Schokolade.</i>;<i>Я <b>люблю</b> шоколад.</i>;
gehen;ging;gegangen;идти;<i>Wir wollen heute spazieren <b>gehen</b>.</i>;<i>Мы хотим сегодня пойти <b>погулять</b>.</i>;
kommen;kam;gekommen;приходить;<i>Er wird bald nach Hause <b>kommen</b>.</i>;<i>Он скоро <b>придет</b> домой.</i>;
sprechen (spricht);sprach;gesprochen;говорить;<i>Kannst du Deutsch <b>sprechen</b>?</i>;<i>Ты <b>говоришь</b> по-немецки?</i>;
geben (gibt);gab;gegeben;дать;<i>Er kann dir das Buch <b>geben</b>.</i>;<i>Он может <b>дать</b> тебе книгу.</i>;
sehen (sieht);sah;gesehen;видеть;<i>Ich möchte den Film <b>sehen</b>.</i>;<i>Я хочу <b>посмотреть</b> этот фильм.</i>;
finden;fand;gefunden;найти;<i>Es ist schwer, einen guten Job zu <b>finden</b>.</i>;<i>Трудно <b>найти</b> хорошую работу.</i>;
bleiben;blieb;geblieben;оставаться;<i>Wir müssen zu Hause <b>bleiben</b>.</i>;<i>Мы должны <b>остаться</b> дома.</i>;
liegen;lag;gelegen;лежать;<i>Das Buch soll auf dem Tisch <b>liegen</b>.</i>;<i>Книга должна <b>лежать</b> на столе.</i>;
sitzen;saß;gesessen;сидеть;<i>Sie kann lange im Café <b>sitzen</b>.</i>;<i>Она может долго <b>сидеть</b> в кафе.</i>;
stehen;stand;gestanden;стоять;<i>Das Auto wird vor dem Haus <b>stehen</b>.</i>;<i>Машина будет <b>стоять</b> перед домом.</i>;
schreiben;schrieb;geschrieben;писать;<i>Ich muss eine E-Mail <b>schreiben</b>.</i>;<i>Я должен <b>написать</b> электронное письмо.</i>;
lesen (liest);las;gelesen;читать;<i>Sie will jeden Abend ein Buch <b>lesen</b>.</i>;<i>Она хочет каждый вечер <b>читать</b> книгу.</i>;
essen (isst);aß;gegessen;есть, кушать;<i>Was möchtest du heute <b>essen</b>?</i>;<i>Что ты хочешь сегодня <b>съесть</b>?</i>;
fahren (fährt);fuhr;gefahren;ехать;<i>Wir müssen mit dem Zug <b>fahren</b>.</i>;<i>Мы должны <b>ехать</b> на поезде.</i>;
helfen (hilft);half;geholfen;помогать;<i>Kannst du mir bitte <b>helfen</b>?</i>;<i>Ты можешь мне, пожалуйста, <b>помочь</b>?</i>;
trinken;trank;getrunken;пить;<i>Möchtest du etwas <b>trinken</b>?</i>;<i>Хочешь что-нибудь <b>выпить</b>?</i>;
beginnen;begann;begonnen;начинать;<i>Der Kurs wird bald <b>beginnen</b>.</i>;<i>Курс скоро <b>начнется</b>.</i>;
wissen (weiß);wusste;gewusst;знать;<i>Ich möchte <b>wissen</b>, wann der Zug fährt.</i>;<i>Я хочу <b>знать</b>, когда отправляется поезд.</i>;
nehmen (nimmt);nahm;genommen;брать;<i>Er will den Bus <b>nehmen</b>.</i>;<i>Он хочет <b>сесть</b> на автобус.</i>;
