#Неправильные глаголы по приоритету 3
#separator:Semicolon
#html:true
#tags:verb verb_p3
#columns:Front;Form2;Form3;Back;Example
reiten;ritt;geritten;ездить верхом;<i>Ich möchte im Urlaub Pferd <b>reiten</b>.</i>
schneiden;schnitt;geschnitten;резать;<i>Kannst du bitte das Brot <b>schneiden</b>?</i>
schreien;schrie;geschrien;кричать;<i>Er muss nicht so laut <b>schreien</b>.</i>
springen;sprang;gesprungen;прыгать;<i>Die Kinder wollen im Garten <b>springen</b>.</i>
steigen;stieg;gestiegen;подниматься;<i>Der Preis wird bald <b>steigen</b>.</i>
streiten;stritt;gestritten;спорить, ссориться;<i>Wir wollen nicht <b>streiten</b>.</i>
tragen (trägt);trug;getragen;нести;<i>Sie muss die Tasche <b>tragen</b>.</i>
waschen (wäscht);wusch;gewaschen;мыть;<i>Ich muss meine Kleidung <b>waschen</b>.</i>
gewinnen;gewann;gewonnen;выигрывать, добывать;<i>Wir hoffen, das Spiel zu <b>gewinnen</b>.</i>
fliegen;flog;geflogen;летать;<i>Ich möchte nach Spanien <b>fliegen</b>.</i>
fließen;floss;geflossen;течь;<i>Das Wasser wird bald <b>fließen</b>.</i>
riechen;roch;gerochen;нюхать, пахнуть;<i>Kannst du das Essen <b>riechen</b>?</i>
schieben;schob;geschoben;двигать;<i>Du musst den Tisch zur Seite <b>schieben</b>.</i>
sinken;sank;gesunken;погружаться;<i>Das Schiff wird <b>sinken</b>.</i>
verschwinden;verschwand;verschwunden;исчезать;<i>Der Hase kann schnell <b>verschwinden</b>.</i>
binden;band;gebunden;завязывать, связывать;<i>Sie muss die Schnürsenkel <b>binden</b>.</i>
singen;sang;gesungen;петь;<i>Er kann sehr schön <b>singen</b>.</i>
sterben (stirbt);starb;gestorben;умирать;<i>Alle Menschen müssen einmal <b>sterben</b>.</i>
backen (bäckt);buk/backte;gebacken;печь;<i>Meine Mutter kann gut Kuchen <b>backen</b>.</i>
laden (lädt);lud;geladen;грузить;<i>Wir müssen die Batterie <b>laden</b>.</i>
schaffen;schuf;geschaffen;создавать;<i>Ich kann die Arbeit heute <b>schaffen</b>.</i>
schlagen (schlägt);schlug;geschlagen;бить;<i>Er will den Nagel in die Wand <b>schlagen</b>.</i>
braten (brät);briet;gebraten;жарить;<i>Wir können Fleisch in der Pfanne <b>braten</b>.</i>
fallen (fällt);fiel;gefallen;падать;<i>Du sollst nicht <b>fallen</b>!</i>
gefallen (gefällt);gefiel;gefallen;нравиться;<i>Mir muss das Kleid <b>gefallen</b>.</i>
hängen;hing;gehangen;повесить;<i>Das Bild soll an der Wand <b>hängen</b>.</i>
heißen;hieß;geheißen;называться;<i>Wie soll der Hund <b>heißen</b>?</i>
vergessen (vergisst);vergaß;vergessen;забывать;<i>Ich darf meinen Schlüssel nicht <b>vergessen</b>.</i>
bitten;bat;gebeten;просить;<i>Ich möchte dich um Hilfe <b>bitten</b>.</i>
tun (tut);tat;getan;делать;<i>Was kann ich für dich <b>tun</b>?</i>
