#Неправильные глаголы по приоритету 5
#separator:Semicolon
#html:true
#tags:verb verb_p5
#notetype:German
#columns:Front;Form2;Form3;Back;Example;EampleTranslation;
leihen;lieh;geliehen;брать взаймы;<i>Kannst du mir bitte dein Buch <b>leihen</b>?</i>;<i>Можешь, пожалуйста, <b>одолжить</b> мне свою книгу?</i>;
meiden;mied;gemieden;избегать;<i>Man sollte schlechte Gesellschaft <b>meiden</b>.</i>;<i>Следует <b>избегать</b> плохой компании.</i>;
scheiden;schied;geschieden;разделять, разводить;<i>Das Gericht kann das Paar <b>scheiden</b>.</i>;<i>Суд может <b>развести</b> пару.</i>;
scheinen;schien;geschienen;светить;<i>Die Sonne wird heute <b>scheinen</b>.</i>;<i>Сегодня солнце будет <b>светить</b>.</i>;
schweigen;schwieg;geschwiegen;молчать;<i>Er muss jetzt <b>schweigen</b>.</i>;<i>Он должен сейчас <b>молчать</b>.</i>;
treiben;trieb;getrieben;гнать, заниматься спортом;<i>Wir wollen Sport <b>treiben</b>.</i>;<i>Мы хотим <b>заниматься</b> спортом.</i>;
weisen;wies;gewiesen;указывать;<i>Er kann dir den Weg <b>weisen</b>.</i>;<i>Он может <b>указать</b> тебе дорогу.</i>;
fliehen;floh;geflohen;убегать;<i>Die Tiere müssen vor dem Feuer <b>fliehen</b>.</i>;<i>Животные должны <b>убежать</b> от огня.</i>;
gebären;gebar;geboren;рожать;<i>Sie wird bald ein Kind <b>gebären</b>.</i>;<i>Она скоро <b>родит</b> ребенка.</i>;
genesen;genas;genesen;выздоравливать;<i>Der Patient wird hoffentlich schnell <b>genesen</b>.</i>;<i>Пациент, надеюсь, быстро <b>выздоровеет</b>.</i>;
geschehen (geschieht);geschah;geschehen;происходить, случаться;<i>Was wird heute <b>geschehen</b>?</i>;<i>Что сегодня <b>произойдет</b>?</i>;
erwägen;erwog;erwogen;обдумывать;<i>Wir müssen die Situation genau <b>erwägen</b>.</i>;<i>Мы должны точно <b>обдумать</b> ситуацию.</i>;
flechten;flocht;geflechten;плести, вязать;<i>Sie kann ihre Haare selbst <b>flechten</b>.</i>;<i>Она может сама <b>заплести</b> свои волосы.</i>;
heben;hob;gehoben;поднимать, повышать;<i>Er muss die schwere Kiste <b>heben</b>.</i>;<i>Он должен <b>поднять</b> тяжелый ящик.</i>;
